Transaction Date and Time,Transaction Amount,Cardholder Name,Card Number,Merchant Name,Merchant Category Code (MCC),Transaction Location (City or ZIP Code),Transaction Currency,Card Type,Card Expiration Date,CVV Code,Transaction Response Code,Transaction ID,Fraud Flag or Label,Previous Transactions,Transaction Source,IP Address,Device Information,User Account Information,Transaction Notes
2025-09-19 11:10:31,7406.38,Bruce Wayne,5500000000000004,Costco,5411,13003,GBP,JCB,07/32,760,200,TXN244837,1,23,ATM,8.8.4.4,Windows,testuser,In-store purchase
2025-11-02 08:19:22,2590.5,Scott Lang,3566002020360508,Merchant E,5814,90009,GBP,Interac,02/39,214,400,TXN969075,0,26,ATM,8.8.4.4,Linux,user1718,Subscription payment
2025-07-12 23:07:25,23883.07,Clark Kent,4222200027927082,Merchant B,5704,20002,CNY,Visa Electron,06/31,927,200,TXN862827,1,40,Online,1.2.4.8,Chrome OS,guest,Bill payment
2025-04-01 22:07:20,8354.69,Tony Stark,5555555555555555,Target,5411,11001,USD,Discover,08/33,988,202,TXN541264,0,38,ATM,8.8.4.4,Windows,user1234,Regular purchase
2025-01-29 10:51:26,16530.21,Natasha Romanoff,6011000990139424,CVS,5999,30003,CHF,Diners Club,10/35,921,404,TXN515240,0,0,POS,8.8.4.4,Windows,user9101,International transaction
2025-12-08 18:59:34,21726.08,Charlie Davis,371449635398431,Amazon,5541,14004,INR,Diners Club,04/29,414,404,TXN571019,1,14,Online,8.8.4.4,Windows,user202,ATM withdrawal
2025-11-12 01:08:23,39474.27,Peter Parker,378734493671000,Home Depot,5704,20002,INR,Maestro,09/34,929,400,TXN262953,0,46,Online,8.8.8.8,iPad,user5678,Bill payment
2025-04-08 00:04:27,10850.44,John Doe,4111111111111111,Kroger,5704,100010,GBP,Maestro,12/25,994,202,TXN627713,0,48,EFT,208.67.222.222,Fire OS,user123,Suspicious activity
2025-11-30 23:37:42,11837.54,John Doe,4111111111111111,Amazon,5999,80008,AUD,Visa,12/25,994,202,TXN600220,0,11,POS,8.8.4.4,Fire OS,user123,Online shopping
2025-08-26 11:07:48,34608.16,Alice Johnson,378282246310005,CVS,4111,90009,CAD,Amex,02/27,284,202,TXN577483,1,1,EFT,10.0.0.1,BlackBerry,user789,Subscription payment
2025-06-19 10:54:37,42501.34,Tony Stark,5555555555555555,Merchant A,5411,70007,AUD,Visa Electron,08/33,988,200,TXN121365,0,16,POS,8.8.4.4,Chrome OS,user1234,Routine transaction
2025-04-17 18:21:35,92.99,Bob Brown,6011111111111117,Merchant E,5549,15005,INR,JCB,03/28,442,202,TXN266022,0,8,Mobile,8.8.4.4,Linux,user101,International transaction
2025-08-27 18:34:20,41592.48,Bruce Wayne,5500000000000004,Merchant B,4111,50005,EUR,MasterCard,07/32,760,202,TXN569903,0,23,Mobile,192.168.1.1,Windows Phone,testuser,High-value transaction
2025-10-16 02:17:10,11976.17,Wanda Maximoff,3566002020360507,Home Depot,5999,14004,JPY,Maestro,01/38,724,202,TXN139236,0,29,EFT,192.168.1.1,Linux,user1516,Regular purchase
2025-10-07 14:55:36,45924.45,Wanda Maximoff,3566002020360507,Best Buy,5999,15005,JPY,Maestro,01/38,724,404,TXN153587,1,45,EFT,1.2.4.8,MacOS,user1516,Regular purchase
2025-05-18 06:55:15,15993.75,Charlie Davis,371449635398431,Walgreens,5722,15005,GBP,MasterCard,04/29,414,202,TXN245602,1,22,Online,8.8.8.8,Windows Phone,user202,High-value transaction
